method,pr_auc,threshold,accuracy,precision,recall,f1_score,roc_auc,fraud_detection_rate,false_positive_rate,true_negative,false_positive,false_negative,true_positive
random_oversampling,0.877513340538519,0.5,0.8551341184899915,0.7784900284900285,0.7648705388383485,0.7716201906106601,0.9118677408762093,0.7648705388383485,0.10239694455419465,13631,1555,1680,5465
smote,0.8779008192221145,0.5,0.8541937217321213,0.7799856011519078,0.7581525542337298,0.7689141234918382,0.9124613320600159,0.7581525542337298,0.10061899117608324,13658,1528,1728,5417
random_undersampling,0.8770039392203802,0.5,0.8467601092651471,0.7643800596506178,0.7532540237928621,0.758776258282814,0.9124647144247349,0.7532540237928621,0.10924535756617938,13527,1659,1763,5382
class_weight,0.8760003208246336,0.5,0.8446106309614437,0.7603059923501913,0.7511546536039189,0.7557026189805689,0.9113448936476701,0.7511546536039189,0.11141841169498222,13494,1692,1778,5367
